      2,814,712  GC Heap bytes
         42,257  GC Heap objects

   Object Bytes     Count  Type
            128        16  Microsoft.Maui.Controls.BindableProperty.CreateDefaultValueDelegate  [Module(0xb400007cb692a5b0)]
            128        15  System.Collections.Generic.Dictionary.Entry<System.String,Java.Interop.JniFieldInfo>[]  [Module(0xb400007cb6925060)]
            128        15  System.Action<Microsoft.Maui.Controls.Platform.AdapterItemKey>  [Module(0xb400007cb6925060)]
            128        14  System.Func<System.Type,System.IntPtr,System.Int32,System.Array>  [Module(0xb400007cb6925060)]
            128        13  System.Threading.ContextCallback  [Module(0xb400007cb6925060)]
            128        13  System.Func<Microsoft.Maui.Controls.Platform.PointerGestureHandler>  [Module(0xb400007cb6925060)]
            128        13  System.Func<Microsoft.Maui.Controls.Platform.DragAndDropGestureHandler>  [Module(0xb400007cb6925060)]
            128        12  System.Action<Microsoft.Maui.Handlers.IShapeViewHandler,Microsoft.Maui.IShapeView>  [Module(0xb400007cb6925060)]
            128        11  System.Action  [Module(0xb400007cb6925060)]
            128        11  System.Func<System.Type,System.IntPtr,System.Int32,System.Object>  [Module(0xb400007cb6925060)]
            128        11  System.Func<System.Array,System.IntPtr>  [Module(0xb400007cb6925060)]
            128        11  System.Action<Microsoft.Maui.Handlers.ITabbedViewHandler,Microsoft.Maui.Controls.TabbedPage>  [Module(0xb400007cb6925060)]
            128        11  System.Action<Microsoft.Maui.Handlers.ILabelHandler,Microsoft.Maui.Controls.Label,System.Action<Microsoft.Maui.IElementHandler,Microsoft.Maui.IElement>>  [Module(0xb400007cb6925060)]
            128        11  System.Action<Microsoft.Maui.Handlers.ITabbedViewHandler,Microsoft.Maui.Controls.TabbedPage,System.Action<Microsoft.Maui.IElementHandler,Microsoft.Maui.IElement>>  [Module(0xb400007cb6925060)]
            128        11  System.Action<Microsoft.Maui.Handlers.PickerHandler,Microsoft.Maui.IPicker>  [Module(0xb400007cb6925060)]
            128        10  System.Action<Microsoft.Maui.IViewHandler,Microsoft.Maui.IView,System.Action<Microsoft.Maui.IElementHandler,Microsoft.Maui.IElement>>  [Module(0xb400007cb6925060)]
            128        10  System.Action<Microsoft.Maui.Handlers.ILabelHandler,Microsoft.Maui.ILabel>  [Module(0xb400007cb6925060)]
            128        10  System.Func<System.Object,System.Diagnostics.Tracing.PropertyValue>  [Module(0xb400007cb6925060)]
            128         9  System.Action<Microsoft.Maui.Handlers.IToolbarHandler,Microsoft.Maui.Controls.Toolbar>  [Module(0xb400007cb6925060)]
            128         9  System.Action<Microsoft.Maui.Handlers.IRadioButtonHandler,Microsoft.Maui.IRadioButton>  [Module(0xb400007cb6925060)]
            128         9  System.Collections.Generic.Dictionary.Entry<System.Type,System.Object>[]  [Module(0xb400007cb6925060)]
            128         9  Microsoft.Maui.Controls.BindableProperty.ValidateValueDelegate  [Module(0xb400007cb692a5b0)]
            128         9  System.Action<Microsoft.Maui.Handlers.IToolbarHandler,Microsoft.Maui.Controls.Toolbar,System.Action<Microsoft.Maui.IElementHandler,Microsoft.Maui.IElement>>  [Module(0xb400007cb6925060)]
            128         8  System.Func<System.Diagnostics.Tracing.EventSource>  [Module(0xb400007cb6925060)]
            128         8  System.Action<Microsoft.Maui.Handlers.IWindowHandler,Microsoft.Maui.IWindow>  [Module(0xb400007cb6925060)]
            128         8  System.Action<Microsoft.Maui.Handlers.IFlyoutViewHandler,Microsoft.Maui.IFlyoutView>  [Module(0xb400007cb6925060)]
            128         8  System.EventHandler<Microsoft.Maui.Controls.ElementEventArgs>  [Module(0xb400007cb6925060)]
            128         8  System.Func<Microsoft.Maui.Controls.View>  [Module(0xb400007cb6925060)]
            128         8  System.Func<Android.Views.View>  [Module(0xb400007cb6925060)]
            128         8  System.EventHandler<Microsoft.Maui.Controls.PointerEventArgs>  [Module(0xb400007cb6925060)]
            128         8  System.Action<Microsoft.Maui.Handlers.ISwipeViewHandler,Microsoft.Maui.ISwipeView>  [Module(0xb400007cb6925060)]
            128         7  System.IntPtr[]  [Module(0xb400007cb6925060)]
            128         7  Microsoft.Maui.Platform.MauiTextView  [Module(0xb400007cb69374e0)]
            128         7  System.EventHandler<Microsoft.Maui.Platform.LayoutChangedEventArgs>  [Module(0xb400007cb6925060)]
            128         7  System.Action<Microsoft.Maui.IElementHandler,Microsoft.Maui.IElement,System.Action<Microsoft.Maui.IElementHandler,Microsoft.Maui.IElement>>  [Module(0xb400007cb6925060)]
            128         6  System.Func<System.Object,System.Object>  [Module(0xb400007cb6925060)]
            128         6  System.Action<Microsoft.Maui.Handlers.ILabelHandler,Microsoft.Maui.Controls.Label>  [Module(0xb400007cb6925060)]
            128         6  System.Action<Microsoft.Maui.ILayoutHandler,Microsoft.Maui.ILayout,System.Object>  [Module(0xb400007cb6925060)]
            128         6  System.EventHandler<Android.Views.View.LayoutChangeEventArgs>  [Module(0xb400007cb6925060)]
            128         5  AndroidX.RecyclerView.Widget.RecyclerView  [Module(0xb400007cb695bde0)]
            128         5  Google.Android.Material.BottomNavigation.BottomNavigationView  [Module(0xb400007cb6949960)]
            128         5  System.Action<Microsoft.Maui.Handlers.IWebViewHandler,Microsoft.Maui.IWebView,System.Object>  [Module(0xb400007cb6925060)]
            128         5  System.Action<Microsoft.Maui.Handlers.IWebViewHandler,Microsoft.Maui.IWebView>  [Module(0xb400007cb6925060)]
            128         5  System.Action<Microsoft.Maui.Handlers.StepperHandler,Microsoft.Maui.IStepper>  [Module(0xb400007cb6925060)]
            128         5  System.Action<Microsoft.Maui.IViewHandler,Microsoft.Maui.IView,System.Object>  [Module(0xb400007cb6925060)]
            128         5  System.Action<Microsoft.Maui.Handlers.IButtonHandler,Microsoft.Maui.Controls.Button,System.Action<Microsoft.Maui.IElementHandler,Microsoft.Maui.IElement>>  [Module(0xb400007cb6925060)]
            128         5  System.Action<Microsoft.Maui.Handlers.IButtonHandler,Microsoft.Maui.IButton>  [Module(0xb400007cb6925060)]
            128         5  System.Action<Microsoft.Maui.Handlers.IImageButtonHandler,Microsoft.Maui.IImageButton>  [Module(0xb400007cb6925060)]
            128         5  System.Func<Microsoft.Maui.IMauiHandlersFactory>  [Module(0xb400007cb6925060)]
            128         5  Microsoft.Maui.Controls.ListProxy  [Module(0xb400007cb692a5b0)]
            128         4  Microsoft.Maui.Handlers.ButtonHandler  [Module(0xb400007cb69374e0)]
            128         4  System.Action<Microsoft.Maui.Handlers.IButtonHandler,Microsoft.Maui.Controls.Button>  [Module(0xb400007cb6925060)]
            128         4  System.Action<Microsoft.Maui.Handlers.IWebViewHandler,Microsoft.Maui.Controls.WebView>  [Module(0xb400007cb6925060)]
            128         4  System.Action<Microsoft.Maui.Handlers.ICheckBoxHandler,Microsoft.Maui.ICheckBox>  [Module(0xb400007cb6925060)]
            128         4  Microsoft.Maui.Platform.MauiMaterialButton  [Module(0xb400007cb69374e0)]
            128         4  System.Action<System.Boolean>  [Module(0xb400007cb6925060)]
            128         4  System.Action<Microsoft.Maui.Handlers.IWebViewHandler,Microsoft.Maui.Controls.WebView,System.Action<Microsoft.Maui.IElementHandler,Microsoft.Maui.IElement>>  [Module(0xb400007cb6925060)]
            128         4  System.Action<Microsoft.Maui.Handlers.IImageHandler,Microsoft.Maui.IImage>  [Module(0xb400007cb6925060)]
            128         4  System.EventHandler<Microsoft.Maui.Controls.Internals.ResourcesChangedEventArgs>  [Module(0xb400007cb6925060)]
            128         4  System.Action<Microsoft.Maui.Handlers.ApplicationHandler,Microsoft.Maui.IApplication,System.Object>  [Module(0xb400007cb6925060)]
            128         4  System.Action<Microsoft.Maui.Handlers.IButtonHandler,Microsoft.Maui.ITextButton>  [Module(0xb400007cb6925060)]
            128         4  System.Action<Microsoft.Maui.Handlers.IScrollViewHandler,Microsoft.Maui.IScrollView>  [Module(0xb400007cb6925060)]
            128         4  System.EventHandler<Android.Views.View.ViewAttachedToWindowEventArgs>  [Module(0xb400007cb6925060)]
            128         4  System.Threading.TimerQueue[]  [Module(0xb400007cb6925060)]
            128         3  System.Globalization.CultureInfo  [Module(0xb400007cb6925060)]
            128         3  System.Threading.ThreadStart  [Module(0xb400007cb6925060)]
            128         3  System.Action<Microsoft.Maui.LifecycleEvents.IAndroidLifecycleBuilder>  [Module(0xb400007cb6925060)]
            128         3  System.Reflection.MemberFilter  [Module(0xb400007cb6925060)]
            128         3  System.Action<Microsoft.Maui.Handlers.IEditorHandler,Microsoft.Maui.IEditor,System.Object>  [Module(0xb400007cb6925060)]
            128         3  System.Action<System.Object>  [Module(0xb400007cb6925060)]
            128         3  System.Threading.SendOrPostCallback  [Module(0xb400007cb6925060)]
            128         3  System.Action<Microsoft.Maui.LifecycleEvents.ILifecycleBuilder>  [Module(0xb400007cb6925060)]
            128         3  System.Func<System.Object,System.Boolean>  [Module(0xb400007cb6925060)]
            128         3  System.Action<Microsoft.Maui.Handlers.ISearchBarHandler,Microsoft.Maui.ISearchBar,System.Object>  [Module(0xb400007cb6925060)]
            128         3  System.Action<Microsoft.Maui.Handlers.IEntryHandler,Microsoft.Maui.IEntry,System.Object>  [Module(0xb400007cb6925060)]
            128         3  System.Action<Microsoft.Maui.ILayoutHandler,Microsoft.Maui.ILayout>  [Module(0xb400007cb6925060)]
            128         3  System.Action<Microsoft.Maui.Handlers.ISwitchHandler,Microsoft.Maui.ISwitch>  [Module(0xb400007cb6925060)]
            128         3  System.Action<Microsoft.Maui.Handlers.IEntryHandler,Microsoft.Maui.Controls.Entry,System.Action<Microsoft.Maui.IElementHandler,Microsoft.Maui.IElement>>  [Module(0xb400007cb6925060)]
            128         3  System.Func<System.Char,System.Boolean>  [Module(0xb400007cb6925060)]
            128         2  Android.Widget.Button  [Module(0xb400007cb692d670)]
            128         2  System.Func<Microsoft.Maui.Controls.NavigatingStepRequestList>  [Module(0xb400007cb6925060)]
            128         2  System.Func<System.Collections.Generic.List<Microsoft.Maui.Controls.Page>>  [Module(0xb400007cb6925060)]
            128         2  System.Action<Microsoft.Maui.Hosting.IImageSourceServiceCollection>  [Module(0xb400007cb6925060)]
            128         2  Microsoft.Maui.LifecycleEvents.AndroidLifecycle.OnResume  [Module(0xb400007cb69374e0)]
            128         2  System.Action<System.Action>  [Module(0xb400007cb6925060)]
            128         2  System.Action<System.Exception>  [Module(0xb400007cb6925060)]
